Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
16	242	RIO SEGUNDO	RINCON	394	396	425	446	469	485	RINCON
13	178A	RIO CUARTO	LAS ALBAHACAS	424	441	434	440	463	474	LAS ALBAHACAS
15	227A	RIO SECO	RINCONADA	452	456	464	466	463	454	RINCONADA
1	13L	CAPITAL	VILLA GRAN PARQUE	223	301	372	420	461	452	Córdoba
25	367	TULUMBA	ROSARIO DEL SALADILLO	523	491	468	493	451	421	ROSARIO DEL SALADILLO
15	226	RIO SECO	LOS HOYOS	476	454	441	453	447	447	LOS HOYOS
22	333	SOBREMONTE	CAMINIAGA	525	436	429	453	442	439	CAMINIAGA
13	169	RIO CUARTO	CHUCUL	341	341	345	413	431	439	CHUCUL
1	13M	CAPITAL	CAMINO A COLONIA TIROLESA (En 2007 era Villa Retiro)	735	642	618	460	431	409	Córdoba
19	267	SAN JAVIER	CONLARA	381	363	391	401	430	444	CONLARA
23	345	TERCERO ARRIBA	PAMPAYASTA NORTE	447	412	412	425	424	424	PAMPAYASTA NORTE
26	376	UNION	BISMARCK	428	433	422	415	420	418	BISMARCK
10	138C	MINAS	ESTANCIA DE GUADALUPE	329	379	324	429	413	392	ESTANCIA DE GUADALUPE
15	226A	RIO SECO	PUESTO DE CASTRO	365	400	374	439	405	406	PUESTO DE CASTRO
18	264	SAN ALBERTO	PANAHOLMA	296	303	320	396	399	404	PANAHOLMA
19	269A	SAN JAVIER	QUEBRACHO LADEADO	170	170	155	254	398	444	QUEBRACHO LADEADO
16	231	RIO SEGUNDO	CAPILLA DEL CARMEN	329	338	346	364	391	412	CAPILLA DEL CARMEN
24	350	TOTORAL	CANDELARIA	537	422	376	400	390	400	CANDELARIA
4	46B	CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	169	180	270	430	388	369	ALTO DE LOS QUEBRACHOS
3	31B	COLON	VILLA CERRO AZUL	199	212	240	363	382	390	VILLA CERRO AZUL
7	92	ISCHILIN	CAÑADA DE RIO PINTO	443	391	399	398	376	393	CAÑADA DE RIO PINTO
20	279A	SAN JUSTO	EL FUERTECITO	590	486	396	373	375	372	EL FUERTECITO
20	299	SAN JUSTO	LUXARDO	371	399	370	358	364	369	LUXARDO
14	203	RIO PRIMERO	PEDRO E.VIVAS	283	345	361	352	363	360	PEDRO E.VIVAS
7	93	ISCHILIN	COPACABANA	309	283	310	347	357	376	COPACABANA
15	227B	RIO SECO	CERRO COLORADO	234	279	295	339	351	358	CERRO COLORADO
15	227D	RIO SECO	SANTA ELENA	270	292	311	346	350	389	SANTA ELENA
3	36	COLON	LA PUERTA	357	330	281	347	349	320	LA PUERTA
14	197	RIO PRIMERO	LA POSTA	407	353	328	337	345	373	LA POSTA
23	349A	TERCERO ARRIBA	GENERAL FOTHERINGHAM	347	354	366	352	340	339	GENERAL FOTHERINGHAM
22	334	SOBREMONTE	CHUÑAHUASI	382	354	341	344	337	333	CHUÑAHUASI
24	356	TOTORAL	SIMBOLAR	328	296	301	319	330	345	SIMBOLAR
14	202	RIO PRIMERO	ESQUINA	459	325	327	341	327	342	ESQUINA
21	317	SANTA MARIA	BAJO CHICO	204	217	227	298	324	354	BAJO CHICO
13	191A	RIO CUARTO	MALENA	256	249	265	308	318	329	MALENA
9	135	MARCOS JUAREZ	CAP.B.O HIGGINS	390	376	345	320	317	322	CAP.B.O HIGGINS
14	208	RIO PRIMERO	COMECHINGONES	369	330	319	311	310	298	COMECHINGONES
2	25B	CALAMUCHITA	LOS MOLINOS	255	266	288	301	309	315	LOS MOLINOS
7	91C	ISCHILIN	VILLA GUTIERREZ	189	206	237	279	305	316	VILLA GUTIERREZ
11	146A	POCHO	TALA CAÑADA	320	287	283	283	302	308	TALA CAÑADA
10	139	MINAS	GUASAPAMPA	222	205	205	290	300	299	GUASAPAMPA
5	71	GENERAL ROCA	VILLA SARMIENTO	324	300	299	308	297	307	VILLA SARMIENTO
1	6A	CAPITAL	BAJADA DE PIEDRA	792	614	500	340	294	295	Córdoba
16	244A	RIO SEGUNDO	LOS CHAÑARITOS	275	281	285	278	292	359	LOS CHAÑARITOS
20	295A	SAN JUSTO	TORO PUJIO	187	203	207	252	291	316	TORO PUJIO
9	122	MARCOS JUAREZ	BARGE	162	143	161	228	283	376	BARGE
3	29A	COLON	TINOCO	265	262	261	263	283	289	TINOCO
2	21	CALAMUCHITA	LAS BAJADAS	338	303	286	269	278	279	LAS BAJADAS
11	146B	POCHO	SAN JERONIMO	153	160	162	290	274	237	SAN JERONIMO
3	33A	COLON	COLONIA VICENTE AGÜERO	216	235	292	277	269	267	COLONIA VICENTE AGÜERO
14	212B	RIO PRIMERO	EL CRISPIN	235	227	253	253	268	272	EL CRISPIN
5	58	GENERAL ROCA	BRUZONE	201	227	235	240	262	316	BRUZONE
23	347A	TERCERO ARRIBA	LAS ISLETILLAS	265	278	268	262	260	250	LAS ISLETILLAS
14	207	RIO PRIMERO	LAS SALADAS	261	249	250	257	258	260	LAS SALADAS
11	145A	POCHO	LAS PALMAS	234	227	225	254	257	260	LAS PALMAS
5	68	GENERAL ROCA	PINCEN	304	290	291	254	255	247	PINCEN
18	264A	SAN ALBERTO	LOS ESPINILLOS	243	224	230	223	253	251	LOS ESPINILLOS
2	15	CALAMUCHITA	AMBOY	271	254	253	240	253	268	AMBOY
13	160A	RIO CUARTO	LA CAROLINA	197	229	232	243	251	259	LA CAROLINA
24	354	TOTORAL	SANTA CATALINA	302	266	246	234	251	257	SANTA CATALINA
25	360A	TULUMBA	EL RODEO	207	202	217	243	243	267	EL RODEO
26	377	UNION	BREMEN	210	183	192	246	239	256	BREMEN
14	199	RIO PRIMERO	CHALACEA	256	226	228	230	239	264	CHALACEA
20	311	SAN JUSTO	SAN PEDRO	205	265	281	264	238	249	SAN PEDRO
10	139B	MINAS	LA PLAYA	213	235	234	237	238	245	LA PLAYA
12	156E	PUNILLA	TALA HUASI	211	219	201	235	232	261	TALA HUASI
14	215A	RIO PRIMERO	LA QUINTA	227	222	239	255	229	271	LA QUINTA
26	401	UNION	SANTA MARIA	161	157	197	204	226	265	SANTA MARIA
23	347	TERCERO ARRIBA	PUNTA DEL AGUA	242	243	234	227	226	231	PUNTA DEL AGUA
14	196	RIO PRIMERO	CAÑADA DE MACHADO	276	252	242	229	219	213	CAÑADA DE MACHADO
4	43B	CRUZ DEL EJE	CRUZ DE CAÑA	211	206	203	221	218	212	CRUZ DE CAÑA
1	6B	CAPITAL	CHACRA DE LA MERCED	304	279	280	244	216	222	Córdoba
2	18B	CALAMUCHITA	CALERAS DE CALAMUCHITA	210	214	214	202	210	226	CALERAS DE CALAMUCHITA
4	55A	CRUZ DEL EJE	LA BATEA	134	121	117	169	207	191	LA BATEA
13	180	RIO CUARTO	LAS PEÑAS	248	250	239	215	206	199	LAS PEÑAS
15	229A	RIO SECO	EUFRASIO LOZA	238	215	209	205	205	202	EUFRASIO LOZA
15	227C	RIO SECO	CHAÑAR VIEJO	172	210	209	207	204	195	CHAÑAR VIEJO
26	372A	UNION	ANA ZUMARAN	135	126	135	175	202	238	ANA ZUMARAN
21	329	SANTA MARIA	SAN CLEMENTE	190	161	176	185	201	209	SAN CLEMENTE
16	237B	RIO SEGUNDO	PUEBLO LUDUEÑA	205	180	179	189	197	214	PUEBLO LUDUEÑA
20	288A	SAN JUSTO	VILLA SAN ESTEBAN	127	127	115	189	194	293	VILLA SAN ESTEBAN
20	281	SAN JUSTO	BEIRO	254	209	159	155	192	180	BEIRO
10	140	MINAS	LA ARGENTINA	296	284	243	216	192	170	LA ARGENTINA
10	138D	MINAS	TOSNO	125	154	152	186	189	191	TOSNO
20	283A	SAN JUSTO	COLONIA PICHANAS	163	203	192	170	182	182	COLONIA PICHANAS
20	286	SAN JUSTO	DIEZ DE JULIO	175	161	159	151	182	165	DIEZ DE JULIO
4	43A	CRUZ DEL EJE	LAS CAÑADAS	143	139	132	193	179	178	LAS CAÑADAS
13	181	RIO CUARTO	LOS CUATRO VIENTOS	157	153	159	168	175	172	LOS CUATRO VIENTOS
14	219	RIO PRIMERO	SAGRADA FAMILIA	274	220	204	181	175	172	SAGRADA FAMILIA
21	316B	SANTA MARIA	LA PAISANITA	93	106	131	165	173	181	LA PAISANITA
20	294A	SAN JUSTO	COLONIA VALTELINA	207	217	195	182	171	169	COLONIA VALTELINA
2	18D	CALAMUCHITA	VILLA QUILLINZO	93	95	94	160	169	217	VILLA QUILLINZO
21	316C	SANTA MARIA	LA RANCHERITA	104	114	135	159	167	175	LA RANCHERITA
2	26A	CALAMUCHITA	SEGUNDA USINA	147	116	119	131	167	173	SEGUNDA USINA
2	16	CALAMUCHITA	ATHOS PAMPA	210	169	130	151	165	174	ATHOS PAMPA
14	195	RIO PRIMERO	ATAHONA	273	219	204	166	165	177	ATAHONA
14	209	RIO PRIMERO	MAQUINISTA GALLINI	253	201	191	182	164	149	MAQUINISTA GALLINI
13	171	RIO CUARTO	ESPINILLO	146	149	148	153	163	161	ESPINILLO
10	141A	MINAS	EL CHACHO	117	129	134	158	161	146	EL CHACHO
2	18A	CALAMUCHITA	LUTTI	189	187	181	157	157	161	LUTTI
2	26B	CALAMUCHITA	SAN IGNACIO	137	126	127	130	153	169	SAN IGNACIO
25	360	TULUMBA	CHURQUI CAÑADA	218	206	183	163	151	156	CHURQUI CAÑADA
18	266A	SAN ALBERTO	SAN RAFAEL	273	248	240	158	150	149	SAN RAFAEL
24	352A	TOTORAL	LOS MISTOLES	99	118	132	144	149	165	LOS MISTOLES
4	52	CRUZ DEL EJE	PICHANAS	290	217	254	159	147	126	PICHANAS
17	256	ROQUE SAENZ PEÑA	SAN JOAQUIN	145	124	129	146	146	154	SAN JOAQUIN
25	360B	TULUMBA	LA TOMA	200	148	115	115	146	136	LA TOMA
10	142A	MINAS	TALAINI	106	129	131	152	145	147	TALAINI
20	287	SAN JUSTO	DOS HERMANOS	180	149	141	125	144	148	DOS HERMANOS
14	201A	RIO PRIMERO	LAS GRAMILLAS	144	129	133	137	142	146	LAS GRAMILLAS
18	263A	SAN ALBERTO	PAMPA DE ACHALA	228	175	163	122	142	131	PAMPA DE ACHALA
9	128A	MARCOS JUAREZ	SALADILLO	151	143	129	136	141	139	SALADILLO
11	146C	POCHO	LOS TALARES	126	132	115	141	140	141	LOS TALARES
17	251	ROQUE SAENZ PEÑA	LEGUIZAMON	172	119	106	120	139	132	LEGUIZAMON
13	178B	RIO CUARTO	VILLA EL CHACAY	97	85	80	126	137	127	VILLA EL CHACAY
20	302	SAN JUSTO	MAUNIER	162	157	147	113	134	126	MAUNIER
2	25A	CALAMUCHITA	CALMAYO	106	104	104	126	132	141	CALMAYO
7	91B	ISCHILIN	LOS POZOS	98	103	105	118	131	141	LOS POZOS
14	212	RIO PRIMERO	MONTE DEL ROSARIO	253	191	171	146	131	127	MONTE DEL ROSARIO
1	13B	CAPITAL	EL GATEADO	118	162	162	146	128	116	Córdoba
14	215	RIO PRIMERO	PLAZA DE MERCEDES	141	130	146	140	126	139	PLAZA DE MERCEDES
13	190	RIO CUARTO	SAN AMBROSIO	162	163	165	128	125	129	SAN AMBROSIO
8	116A	JUAREZ CELMAN	PASO DEL DURAZNO	98	90	91	110	122	136	PASO DEL DURAZNO
14	201	RIO PRIMERO	COLONIA LAS CUATRO ESQUINAS	126	108	100	114	122	126	COLONIA LAS CUATRO ESQUINAS
20	292	SAN JUSTO	ITURRASPE	155	152	145	112	112	115	ITURRASPE
1	7	CAPITAL	AEROPUERTO	403	298	260	150	112	106	Córdoba
13	187	RIO CUARTO	PUEYRREDON	75	80	81	103	111	117	PUEYRREDON
14	221	RIO PRIMERO	EL ALCALDE	199	159	141	116	110	109	EL ALCALDE
10	138B	MINAS	RUMIHUASI	141	128	89	101	103	100	RUMIHUASI
2	16A	CALAMUCHITA	VILLA LA MERCED	69	75	55	34	101	114	VILLA LA MERCED
17	254	ROQUE SAENZ PEÑA	RIO BAMBA	105	86	84	99	101	105	RIO BAMBA
2	16C	CALAMUCHITA	VILLA BERNA	110	104	96	106	99	103	VILLA BERNA
8	103	JUAREZ CELMAN	ASSUNTA	86	72	67	74	94	93	ASSUNTA
4	47	CRUZ DEL EJE	IGLESIA VIEJA	122	68	99	71	92	92	IGLESIA VIEJA
14	210	RIO PRIMERO	BLAS DE ROSALES	245	177	140	106	92	82	BLAS DE ROSALES
25	370	TULUMBA	SANTA CRUZ	252	172	138	97	92	83	SANTA CRUZ
4	49	CRUZ DEL EJE	LOS SAUCES	111	104	90	82	91	93	LOS SAUCES
10	140A	MINAS	OJO DE AGUA DE TOTOX	111	104	83	89	91	86	OJO DE AGUA DE TOTOX
11	144A	POCHO	LAS JARILLAS	154	113	80	93	91	88	LAS JARILLAS
7	101	ISCHILIN	TOYOS	134	100	91	82	88	89	TOYOS
14	217	RIO PRIMERO	QUEBRACHO	177	139	124	93	85	82	QUEBRACHO
15	225A	RIO SECO	LA CAÑADA	226	146	124	89	85	77	LA CAÑADA
8	110A	JUAREZ CELMAN	PACHECO DE MELO	84	85	70	72	84	85	PACHECO DE MELO
10	139A	MINAS	AGUA DE RAMON	128	115	95	89	84	87	AGUA DE RAMON
13	175	RIO CUARTO	LA GILDA	76	67	64	73	80	73	LA GILDA
20	291A	SAN JUSTO	COLONIA ANITA	108	92	83	79	78	78	COLONIA ANITA
18	265B	SAN ALBERTO	LA CORTADERA	142	132	118	82	78	75	LA CORTADERA
4	54A	CRUZ DEL EJE	CANTERAS QUILPO	176	138	126	95	78	60	CANTERAS QUILPO
4	51A	CRUZ DEL EJE	SANTA ANA	205	158	128	86	75	68	SANTA ANA
8	110	JUAREZ CELMAN	EL RASTREADOR	71	52	58	60	74	84	EL RASTREADOR
13	176	RIO CUARTO	LA INVERNADA	111	89	75	71	74	71	LA INVERNADA
2	18C	CALAMUCHITA	VILLA CAÑADA DEL SAUCE	79	70	64	80	72	91	VILLA CAÑADA DEL SAUCE
13	178	RIO CUARTO	LAS CAÑITAS	55	39	43	49	71	68	LAS CAÑITAS
11	144B	POCHO	EL MEDANITO	158	119	81	64	68	61	EL MEDANITO
7	97	ISCHILIN	ISCHILIN	162	103	90	76	65	71	ISCHILIN
24	353	TOTORAL	MACHA	210	137	98	76	65	65	MACHA
5	67	GENERAL ROCA	ONAGOITY	91	82	73	67	64	61	ONAGOITY
6	81	GRAL SAN MARTIN	MOJARRAS	114	99	77	68	61	59	MOJARRAS
10	141	MINAS	PIEDRITA BLANCA	130	114	89	61	60	60	PIEDRITA BLANCA
7	98	ISCHILIN	JAIME PETER	106	76	60	55	59	63	JAIME PETER
3	39	COLON	SANTA TERESA	124	97	77	63	59	56	SANTA TERESA
4	53A	CRUZ DEL EJE	LOS LEONES	113	82	64	56	58	57	LOS LEONES
14	206	RIO PRIMERO	LAS HERAS	144	100	84	61	57	55	LAS HERAS
25	363	TULUMBA	ISLA DE SAN ANTONIO	116	82	69	49	49	48	ISLA DE SAN ANTONIO
18	261B	SAN ALBERTO	VILLA BENEGAS	71	67	63	48	48	45	VILLA BENEGAS
21	322	SANTA MARIA	COSME	176	105	87	50	48	52	COSME
16	236A	RIO SEGUNDO	COLONIA VIDELA	54	37	36	45	47	53	COLONIA VIDELA
5	69	GENERAL ROCA	RANQUELES	66	55	55	51	45	42	RANQUELES
15	224	RIO SECO	ENCRUCIJADA	101	75	50	42	43	45	ENCRUCIJADA
4	53B	CRUZ DEL EJE	EL ABRA	114	74	51	45	43	43	EL ABRA
4	43	CRUZ DEL EJE	CANDELARIA	125	93	75	51	40	41	CANDELARIA
18	260A	SAN ALBERTO	EL VOLCAN	67	63	60	35	37	35	EL VOLCAN
14	216	RIO PRIMERO	PUNTA DEL AGUA	75	53	44	38	37	36	PUNTA DEL AGUA
19	269B	SAN JAVIER	EL MANANTIAL	65	42	29	29	34	36	EL MANANTIAL
26	396A	UNION	VILLA LOS PATOS	76	61	51	43	34	34	VILLA LOS PATOS
6	84	GRAL SAN MARTIN	SANABRIA	80	67	50	40	34	33	SANABRIA
25	362	TULUMBA	EL BAÑADO	148	99	63	39	34	35	EL BAÑADO
9	131A	MARCOS JUAREZ	VILLA ELISA	31	27	26	26	32	28	VILLA ELISA
25	370A	TULUMBA	LA CAÑADA	60	45	30	28	27	27	LA CAÑADA
4	53	CRUZ DEL EJE	SAN ANTONIO	110	69	62	31	26	29	SAN ANTONIO
18	263B	SAN ALBERTO	LOS CERROS	47	42	35	20	24	23	LOS CERROS
26	379	UNION	CARCANO	36	38	33	17	23	23	CARCANO
7	91A	ISCHILIN	CANTERAS	37	23	20	23	23	23	CANTERAS
10	138A	MINAS	RUMIACO	50	40	27	27	23	23	RUMIACO
5	65	GENERAL ROCA	LECUEDER	33	24	22	18	19	16	LECUEDER
18	259	SAN ALBERTO	ALTAUTINA	73	47	30	21	19	19	ALTAUTINA
21	320	SANTA MARIA	BUENA VISTA	110	65	52	27	19	26	BUENA VISTA
20	312	SAN JUSTO	SAUZE	75	48	36	22	17	17	SAUZE
25	365	TULUMBA	LAS MASITAS	60	36	27	16	14	17	LAS MASITAS
2	16B	CALAMUCHITA	CHAMPAQUI	46	38	31	12	10	13	CHAMPAQUI
13	173	RIO CUARTO	LA ARGENTINA	40	32	27	17	9	8	LA ARGENTINA
1	7C	CAPITAL	CNO. A PAJAS BLANCAS	22	25	11	11	8	10	Córdoba
16	242A	RIO SEGUNDO	CAÑADA DE MACHADO SUD	55	32	24	17	8	6	CAÑADA DE MACHADO SUD
26	397A	UNION	CORRAL DEL BAJO	163	95	61	13	7	6	CORRAL DEL BAJO
13	185	RIO CUARTO	PAUNERO (Desaparecido 2017 se mezclo con 194)	33	17	13	5		5	PAUNERO (Desaparecido 2017 se mezclo con 194)
4	46A	CRUZ DEL EJE	LA CONCEPCION (Desaparecida en 2009 o 2011)	29					#N/A	LA CONCEPCION (Desaparecida en 2009 o 2011)
10	143	MINAS	CAPILLA DEL CARMEN (Desaparecido en 2009 o 2011)	162					#N/A	CAPILLA DEL CARMEN (Desaparecido en 2009 o 2011)
6	88B	GRAL SAN MARTIN	SAN ANTONIO DE YUCAT (Desaparecido en 2017)	61	45	21	12		6	SAN ANTONIO DE YUCAT (Desaparecido en 2017)
7	96	ISCHILIN	HUASCHA (Desaparecido en 2009 o 2011)	44					#N/A	HUASCHA (Desaparecido en 2009 o 2011)
6	88A	GRAL SAN MARTIN	SANTA RITA (Desaparecido en 2017)	30	21	9	2		3	SANTA RITA (Desaparecido en 2017)
4	43C	CRUZ DEL EJE	CIENAGA DE BRITOS (DESAPARECIDO en 2017)	12	7	5	6		3	CIENAGA DE BRITOS (DESAPARECIDO en 2017)
